,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4408,0.829,0.703,9,-5.683,0,0.0444,0.217,0.00123,0.118,0.6,115.961,audio_features,1OGZU2zmK6x0UnM3yeZ4lR,spotify:track:1OGZU2zmK6x0UnM3yeZ4lR,https://api.spotify.com/v1/tracks/1OGZU2zmK6x0UnM3yeZ4lR,https://api.spotify.com/v1/audio-analysis/1OGZU2zmK6x0UnM3yeZ4lR,170000,4
4409,0.888,0.451,2,-9.957,1,0.0718,0.0079,0.000225,0.0615,0.399,112.002,audio_features,3r4sc1n8kNL2FpebHwaAQE,spotify:track:3r4sc1n8kNL2FpebHwaAQE,https://api.spotify.com/v1/tracks/3r4sc1n8kNL2FpebHwaAQE,https://api.spotify.com/v1/audio-analysis/3r4sc1n8kNL2FpebHwaAQE,411411,4
4410,0.808,0.769,7,-7.207,0,0.0833,0.101,4.12e-05,0.119,0.685,116.001,audio_features,1mJFFeluclL38IwV264lm9,spotify:track:1mJFFeluclL38IwV264lm9,https://api.spotify.com/v1/tracks/1mJFFeluclL38IwV264lm9,https://api.spotify.com/v1/audio-analysis/1mJFFeluclL38IwV264lm9,153103,4
4411,0.802,0.864,6,-5.442,0,0.0386,0.106,0.00107,0.0408,0.828,115.997,audio_features,7l8VNas2HcqyvsvOSjXDQt,spotify:track:7l8VNas2HcqyvsvOSjXDQt,https://api.spotify.com/v1/tracks/7l8VNas2HcqyvsvOSjXDQt,https://api.spotify.com/v1/audio-analysis/7l8VNas2HcqyvsvOSjXDQt,193758,4
4412,0.9,0.762,2,-5.035,1,0.0372,0.742,0.00246,0.0681,0.802,113.006,audio_features,3PnkEOvEKu7s2qQJ5mHpNl,spotify:track:3PnkEOvEKu7s2qQJ5mHpNl,https://api.spotify.com/v1/tracks/3PnkEOvEKu7s2qQJ5mHpNl,https://api.spotify.com/v1/audio-analysis/3PnkEOvEKu7s2qQJ5mHpNl,208719,4
4413,0.778,0.66,7,-6.662,0,0.0592,0.156,0.0,0.137,0.747,110.016,audio_features,6kxo2n2WY48fAhLuiwYOAb,spotify:track:6kxo2n2WY48fAhLuiwYOAb,https://api.spotify.com/v1/tracks/6kxo2n2WY48fAhLuiwYOAb,https://api.spotify.com/v1/audio-analysis/6kxo2n2WY48fAhLuiwYOAb,194182,4
4414,0.748,0.828,1,-3.591,1,0.189,0.1,0.00044,0.0797,0.584,80.037,audio_features,6othjWxN6khdhiLu9GdOtj,spotify:track:6othjWxN6khdhiLu9GdOtj,https://api.spotify.com/v1/tracks/6othjWxN6khdhiLu9GdOtj,https://api.spotify.com/v1/audio-analysis/6othjWxN6khdhiLu9GdOtj,125030,3
4415,0.876,0.834,5,-5.768,0,0.0454,0.044,3.93e-05,0.0874,0.62,117.986,audio_features,2XuLnQELesgnkCGZbSJHO0,spotify:track:2XuLnQELesgnkCGZbSJHO0,https://api.spotify.com/v1/tracks/2XuLnQELesgnkCGZbSJHO0,https://api.spotify.com/v1/audio-analysis/2XuLnQELesgnkCGZbSJHO0,178983,4
4416,0.765,0.857,1,-5.846,1,0.136,0.188,0.0,0.1,0.8,119.968,audio_features,3kKZsfJfTLHQOraQWL1KYE,spotify:track:3kKZsfJfTLHQOraQWL1KYE,https://api.spotify.com/v1/tracks/3kKZsfJfTLHQOraQWL1KYE,https://api.spotify.com/v1/audio-analysis/3kKZsfJfTLHQOraQWL1KYE,171922,4
4417,0.862,0.511,7,-4.628,1,0.155,0.226,0.0552,0.0779,0.549,99.58,audio_features,6MxDZfKKNsiYwescOFGyY0,spotify:track:6MxDZfKKNsiYwescOFGyY0,https://api.spotify.com/v1/tracks/6MxDZfKKNsiYwescOFGyY0,https://api.spotify.com/v1/audio-analysis/6MxDZfKKNsiYwescOFGyY0,156479,4
4418,0.861,0.475,1,-11.952,0,0.0537,0.0325,0.322,0.0708,0.248,113.016,audio_features,3vTW0qXIitjhZW5kfTwBTv,spotify:track:3vTW0qXIitjhZW5kfTwBTv,https://api.spotify.com/v1/tracks/3vTW0qXIitjhZW5kfTwBTv,https://api.spotify.com/v1/audio-analysis/3vTW0qXIitjhZW5kfTwBTv,237876,4
4419,0.784,0.865,11,-5.679,0,0.155,0.301,0.000324,0.11,0.491,115.96,audio_features,3yCYQ0uzJyX0GwJoF3QvAe,spotify:track:3yCYQ0uzJyX0GwJoF3QvAe,https://api.spotify.com/v1/tracks/3yCYQ0uzJyX0GwJoF3QvAe,https://api.spotify.com/v1/audio-analysis/3yCYQ0uzJyX0GwJoF3QvAe,184000,4
4420,0.495,0.633,6,-6.675,1,0.294,0.511,0.00337,0.0927,0.738,201.726,audio_features,5jVpi3fFf5OGAZ5bpe4Bhy,spotify:track:5jVpi3fFf5OGAZ5bpe4Bhy,https://api.spotify.com/v1/tracks/5jVpi3fFf5OGAZ5bpe4Bhy,https://api.spotify.com/v1/audio-analysis/5jVpi3fFf5OGAZ5bpe4Bhy,156600,4
4421,0.771,0.705,6,-6.198,1,0.218,0.479,0.00314,0.115,0.78,96.001,audio_features,7scINjDU13FTbCakH7bf2E,spotify:track:7scINjDU13FTbCakH7bf2E,https://api.spotify.com/v1/tracks/7scINjDU13FTbCakH7bf2E,https://api.spotify.com/v1/audio-analysis/7scINjDU13FTbCakH7bf2E,191976,4
4422,0.782,0.691,5,-8.577,1,0.103,0.142,0.001,0.297,0.561,114.999,audio_features,6DxaRdAjfbhMk4Hn3bdFqz,spotify:track:6DxaRdAjfbhMk4Hn3bdFqz,https://api.spotify.com/v1/tracks/6DxaRdAjfbhMk4Hn3bdFqz,https://api.spotify.com/v1/audio-analysis/6DxaRdAjfbhMk4Hn3bdFqz,169043,4
4423,0.615,0.852,0,-6.283,1,0.2,0.0347,0.0358,0.0994,0.578,114.011,audio_features,73QcmfEnoLv3pKt0aXKdOG,spotify:track:73QcmfEnoLv3pKt0aXKdOG,https://api.spotify.com/v1/tracks/73QcmfEnoLv3pKt0aXKdOG,https://api.spotify.com/v1/audio-analysis/73QcmfEnoLv3pKt0aXKdOG,172632,4
4424,0.87,0.858,9,-5.841,0,0.112,0.307,0.00092,0.202,0.668,114.992,audio_features,7EG6jjb43ggH49wY5AlKYR,spotify:track:7EG6jjb43ggH49wY5AlKYR,https://api.spotify.com/v1/tracks/7EG6jjb43ggH49wY5AlKYR,https://api.spotify.com/v1/audio-analysis/7EG6jjb43ggH49wY5AlKYR,154565,4
4425,0.847,0.862,0,-2.87,0,0.0765,0.00905,0.00122,0.085,0.445,99.996,audio_features,6TRuE2tsRuY3rDc7ZGlRwp,spotify:track:6TRuE2tsRuY3rDc7ZGlRwp,https://api.spotify.com/v1/tracks/6TRuE2tsRuY3rDc7ZGlRwp,https://api.spotify.com/v1/audio-analysis/6TRuE2tsRuY3rDc7ZGlRwp,273600,4
4426,0.844,0.839,6,-6.188,1,0.0478,0.00486,0.00141,0.0694,0.621,113.933,audio_features,5lLwFE3fCAQllnPLsKtFP9,spotify:track:5lLwFE3fCAQllnPLsKtFP9,https://api.spotify.com/v1/tracks/5lLwFE3fCAQllnPLsKtFP9,https://api.spotify.com/v1/audio-analysis/5lLwFE3fCAQllnPLsKtFP9,197895,4
4427,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,audio_features,0WtM2NBVQNNJLh6scP13H8,spotify:track:0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318,4
4428,0.95,0.415,7,-7.45,0,0.0866,0.565,0.000938,0.0793,0.668,108.024,audio_features,50PNIHqtEaaY48K7WWxG9L,spotify:track:50PNIHqtEaaY48K7WWxG9L,https://api.spotify.com/v1/tracks/50PNIHqtEaaY48K7WWxG9L,https://api.spotify.com/v1/audio-analysis/50PNIHqtEaaY48K7WWxG9L,187896,4
4429,0.835,0.691,0,-5.828,1,0.113,0.0159,1.44e-05,0.108,0.581,103.999,audio_features,1mSdbey7RstGLY2udgXv74,spotify:track:1mSdbey7RstGLY2udgXv74,https://api.spotify.com/v1/tracks/1mSdbey7RstGLY2udgXv74,https://api.spotify.com/v1/audio-analysis/1mSdbey7RstGLY2udgXv74,263289,4
4430,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,audio_features,2PDgArI0p7UkeYgXWuqpmh,spotify:track:2PDgArI0p7UkeYgXWuqpmh,https://api.spotify.com/v1/tracks/2PDgArI0p7UkeYgXWuqpmh,https://api.spotify.com/v1/audio-analysis/2PDgArI0p7UkeYgXWuqpmh,172342,4
4431,0.649,0.655,10,-5.534,0,0.0652,0.307,0.0,0.22,0.793,92.9,audio_features,2WigMwGJysIh9fRnSJvpjn,spotify:track:2WigMwGJysIh9fRnSJvpjn,https://api.spotify.com/v1/tracks/2WigMwGJysIh9fRnSJvpjn,https://api.spotify.com/v1/audio-analysis/2WigMwGJysIh9fRnSJvpjn,147581,4
4432,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,audio_features,26b3oVLrRUaaybJulow9kz,spotify:track:26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/tracks/26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/audio-analysis/26b3oVLrRUaaybJulow9kz,184791,5
4433,0.792,0.503,1,-8.044,1,0.0626,0.0369,0.00057,0.0959,0.381,99.97,audio_features,1rrqJ9QkOBYJlsZgqqwxgB,spotify:track:1rrqJ9QkOBYJlsZgqqwxgB,https://api.spotify.com/v1/tracks/1rrqJ9QkOBYJlsZgqqwxgB,https://api.spotify.com/v1/audio-analysis/1rrqJ9QkOBYJlsZgqqwxgB,185093,4
